type	stator	rotor
r_m	4.774623e-01	4.774623e-01
c	9.707715e-02	1.091808e-01
b	7.436541e-02	7.567488e-02
stagger	6.981317e-01	-8.049940e-01
H	1.876090e-01	2.140651e-01
delta_fl	1.745329e-01	1.745329e-01
s	5.755478e-02	7.085766e-02
o	9.994282e-03	1.564351e-02
t_max	1.941543e-02	1.941309e-02
t_te	9.994282e-04	1.564351e-03
t_cl	5.000000e-04	5.000000e-04
cs	2.974617e-02	3.026995e-02
z	5.212398e+01	4.233818e+01
Re	8.528581e+07	7.173238e+07
theta_in	0.000000e+00	-2.617993e-01
theta_out	1.396263e+00	-1.348189e+00
deflection	1.396263e+00	-1.086389e+00
camber	1.396263e+00	-1.086389e+00
incid	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00
eta_drop	3.362588e-02	3.758026e-02
Y_guess	9.650723e-02	1.033506e-01
Y_loss	9.650732e-02	1.033507e-01
Y_error	-9.107254e-08	-9.009857e-08
Y_p	3.429457e-02	2.777097e-02
Y_s	3.919484e-02	3.786919e-02
Y_cl	0.000000e+00	1.429788e-02
Y_te	2.301790e-02	2.341270e-02
dh_s	4.684651e+03	5.235564e+03
