type	stator	rotor
r_m	4.636130e-01	4.636130e-01
c	1.138453e-01	1.093181e-01
b	8.721058e-02	7.577661e-02
stagger	6.981317e-01	-8.049112e-01
H	2.184450e-01	2.184450e-01
delta_fl	-1.520270e-01	1.745330e-01
s	6.981011e-02	7.266939e-02
o	1.212240e-02	1.605522e-02
t_max	2.276906e-02	1.943622e-02
t_te	1.212240e-03	1.605522e-03
t_cl	5.000000e-04	5.000000e-04
cs	3.488423e-02	3.031064e-02
z	4.172699e+01	4.008519e+01
Re	1.008490e+08	7.262055e+07
theta_in	0.000000e+00	-2.617994e-01
theta_out	1.396263e+00	-1.348023e+00
deflection	1.396263e+00	-1.086224e+00
camber	1.396263e+00	-1.086224e+00
incid	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00
eta_drop	2.682268e-02	3.239270e-02
Y_guess	7.598500e-02	8.768770e-02
Y_loss	7.598830e-02	8.768772e-02
Y_error	-3.299795e-06	-1.899282e-08
Y_p	1.372706e-02	1.178864e-02
Y_s	3.924334e-02	3.868822e-02
Y_cl	0.000000e+00	1.379807e-02
Y_te	2.301790e-02	2.341279e-02
dh_s	3.730943e+03	4.505714e+03
