type	stator	rotor
r_m	3.817713e-02	3.817713e-02
c	9.999429e-03	9.461909e-03
b	7.730610e-03	6.855056e-03
stagger	6.870742e-01	-7.605025e-01
H	1.908857e-02	1.885665e-02
delta_fl	6.394073e-07	-3.382018e-02
s	6.018971e-03	6.830189e-03
o	1.176005e-03	2.093956e-03
t_max	1.984048e-03	1.622092e-03
t_te	1.176005e-04	2.093956e-04
t_cl	5.000000e-04	5.000000e-04
cs	3.092244e-03	2.742022e-03
z	3.985299e+01	3.511967e+01
Re	7.117350e+06	4.678662e+06
theta_in	0.000000e+00	-2.617999e-01
theta_out	1.374148e+00	-1.259205e+00
deflection	1.374148e+00	-9.974052e-01
camber	1.374148e+00	-9.974052e-01
incid	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00
eta_drop	3.142641e-02	5.315254e-02
Y_guess	8.452888e-02	1.412729e-01
Y_loss	8.452982e-02	1.412734e-01
Y_error	-9.395765e-07	-5.222689e-07
Y_p	2.218245e-02	1.601211e-02
Y_s	3.932947e-02	3.689262e-02
Y_cl	0.000000e+00	6.489819e-02
Y_te	2.301790e-02	2.347049e-02
dh_s	6.682764e+02	1.130278e+03
