type	stator	rotor	stator	rotor
r_m	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02
c	2.015703e-02	2.114700e-02	2.872187e-02	3.819518e-02
b	1.544118e-02	2.105561e-02	2.190357e-02	3.182229e-02
stagger	6.981317e-01	-9.300209e-02	7.034585e-01	-5.860186e-01
H	2.015703e-02	2.114700e-02	2.872187e-02	3.819518e-02
delta_fl	-1.745329e-01	1.745329e-01	1.745329e-01	1.745329e-01
s	1.188974e-02	1.122320e-02	2.288667e-02	3.510907e-02
o	2.064632e-03	3.632286e-03	9.450801e-03	2.071032e-02
t_max	4.031405e-03	5.286751e-03	4.689218e-03	5.755512e-03
t_te	2.064632e-04	3.632286e-04	9.450801e-04	2.071032e-03
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	6.176471e-03	8.422246e-03	8.761428e-03	1.272892e-02
z	4.878770e+01	5.168520e+01	2.534546e+01	1.652203e+01
Re	2.686092e+06	1.087903e+06	9.096834e+05	6.573568e+05
theta_in	0.000000e+00	1.055217e+00	2.617994e-01	-2.321576e-01
theta_out	1.396263e+00	-1.241221e+00	1.145118e+00	-9.398795e-01
deflection	1.396263e+00	-2.296438e+00	8.833182e-01	-7.077220e-01
camber	1.396263e+00	-2.296438e+00	8.833182e-01	-7.077220e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	1.005008e-01	4.863542e-02	1.064385e-02	2.893527e-02
Y_guess	6.833636e-01	4.537494e-01	8.899164e-02	1.937462e-01
Y_loss	6.833636e-01	4.537494e-01	8.899164e-02	1.937468e-01
Y_error	-5.990164e-09	-1.189568e-08	-5.083831e-09	-5.654112e-07
Y_p	5.994824e-01	7.650446e-02	1.631962e-02	1.030234e-01
Y_s	6.086334e-02	1.495277e-01	4.910681e-02	3.828838e-02
Y_cl	0.000000e+00	2.122078e-01	0.000000e+00	2.877816e-02
Y_te	2.301790e-02	1.550942e-02	2.356522e-02	2.365684e-02
dh_s	1.287330e+04	6.229787e+03	1.363387e+03	3.706363e+03
