type	stator	rotor	stator	rotor
r_m	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02
c	1.996935e-02	2.095566e-02	2.846771e-02	3.785210e-02
b	1.529741e-02	2.089105e-02	2.171189e-02	3.150965e-02
stagger	6.981317e-01	-7.854681e-02	7.033424e-01	-5.872976e-01
H	1.996935e-02	2.095566e-02	2.846771e-02	3.785210e-02
delta_fl	-1.745329e-01	1.745329e-01	1.745329e-01	1.745329e-01
s	1.178164e-02	1.108781e-02	2.261480e-02	3.478916e-02
o	2.045860e-03	3.606826e-03	9.343317e-03	2.045773e-02
t_max	3.993870e-03	5.238915e-03	4.647250e-03	5.709199e-03
t_te	2.045860e-04	3.606826e-04	9.343317e-04	2.045773e-03
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	6.118964e-03	8.356420e-03	8.684754e-03	1.260386e-02
z	4.880034e+01	5.185405e+01	2.542353e+01	1.652664e+01
Re	2.685725e+06	1.080316e+06	9.075981e+05	6.584924e+05
theta_in	0.000000e+00	1.082378e+00	2.617994e-01	-2.324434e-01
theta_out	1.396263e+00	-1.239471e+00	1.144885e+00	-9.421518e-01
deflection	1.396263e+00	-2.321849e+00	8.830859e-01	-7.097083e-01
camber	1.396263e+00	-2.321849e+00	8.830859e-01	-7.097083e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	1.087088e-01	4.859732e-02	1.028508e-02	2.816244e-02
Y_guess	7.720422e-01	4.679333e-01	8.853224e-02	1.932022e-01
Y_loss	7.720422e-01	4.679333e-01	8.853224e-02	1.932022e-01
Y_error	4.242051e-12	-3.986145e-12	-9.218556e-12	1.195667e-10
Y_p	6.881559e-01	8.350108e-02	1.590582e-02	1.019355e-01
Y_s	6.086842e-02	1.502999e-01	4.906098e-02	3.844267e-02
Y_cl	0.000000e+00	2.190336e-01	0.000000e+00	2.916873e-02
Y_te	2.301790e-02	1.509880e-02	2.356544e-02	2.365533e-02
dh_s	1.417023e+04	6.334679e+03	1.340664e+03	3.670985e+03
