Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
w_s	1.000000e-01	3.432825e-01	1.000000e+01	yes	no
d_s	1.000000e-01	3.027046e+00	1.000000e+01	yes	no
vel_in	1.000000e-03	5.907154e-02	5.000000e-01	yes	no
vel_out	5.000000e-02	3.561517e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.552817e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.549985e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.548721e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.550735e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.558348e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.571524e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.947962e-01	1.250000e+00	yes	no
ang_out	6.981317e-01	1.393854e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.357099e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.335837e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.306021e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.275169e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.235349e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.195886e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.141937e+00	-6.981317e-01	yes	no
r_Hc	1.000000e+00	1.785844e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	2.000000e+00	2.000000e+00	yes	yes
r_Hc	1.000000e+00	1.787023e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.940317e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.706307e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.725976e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.467968e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.687725e+00	2.000000e+00	yes	no
r_sc	3.000000e-01	5.371746e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.495083e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.056453e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.641923e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.928906e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	8.171582e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	8.322145e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.266359e-01	1.100000e+00	yes	no
s_out	9.900000e-01	1.000827e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.001769e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.002604e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.003562e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.004462e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.005462e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.006449e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.007635e+00	1.048890e+00	yes	no


Nonlinear constraints
variable	min_value	value	max_value	applied	satisfied	active
p_out_error	0.000000e+00	1.875239e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	1.601994e-08	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	4.888078e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.389885e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.954107e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-7.182995e-08	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	7.394347e-08	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	2.140637e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	7.550806e-07	0.000000e+00	yes	yes	yes
flare_angle	-1.745329e-01	1.745032e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	5.771479e-02	1.745329e-01	yes	yes	no
flare_angle	-1.745329e-01	1.745470e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745450e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745409e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745403e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745352e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745346e-01	1.745329e-01	yes	yes	yes
r_ht	6.000000e-01	8.935412e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.771744e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.771744e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.724973e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.724973e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.550131e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.550131e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.366957e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.366957e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.129328e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.129328e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.859026e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.859026e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.490475e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.490475e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.118029e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.972659e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.972214e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.963686e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	5.492841e-01	9.000000e-01	yes	yes	no
Ma_rel		1.020093e-01	5.000000e+00	yes	yes	no
Ma_rel		6.333007e-01	5.000000e+00	yes	yes	no
Ma_rel		1.154064e-01	5.000000e+00	yes	yes	no
Ma_rel		6.515305e-01	5.000000e+00	yes	yes	no
Ma_rel		1.430468e-01	5.000000e+00	yes	yes	no
Ma_rel		6.724571e-01	5.000000e+00	yes	yes	no
Ma_rel		1.620727e-01	5.000000e+00	yes	yes	no
Ma_rel		6.958163e-01	5.000000e+00	yes	yes	no
Ma_rel		1.885131e-01	5.000000e+00	yes	yes	no
Ma_rel		7.223330e-01	5.000000e+00	yes	yes	no
Ma_rel		2.178679e-01	5.000000e+00	yes	yes	no
Ma_rel		7.531762e-01	5.000000e+00	yes	yes	no
Ma_rel		2.566859e-01	5.000000e+00	yes	yes	no
Ma_rel		7.890975e-01	5.000000e+00	yes	yes	no
Ma_rel		2.991520e-01	5.000000e+00	yes	yes	no
Ma_rel		9.254796e-01	5.000000e+00	yes	yes	no
Ma_rel		1.194824e-01	5.000000e+00	yes	yes	no
Ma_diffuser		3.848459e-01	9.500000e-01	yes	yes	no
beta_in_stator		0.000000e+00	2.617994e-01	yes	yes	no
beta_in_stator		2.617919e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.617959e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.617991e-01	2.617994e-01	yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.617989e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.617941e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.617976e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.617999e-01		yes	yes	yes
height	1.000000e-02	1.903725e-01		no		
height	1.000000e-02	2.089480e-01		no		
height	1.000000e-02	2.288664e-01		no		
height	1.000000e-02	2.614466e-01		no		
height	1.000000e-02	3.006083e-01		no		
height	1.000000e-02	3.490724e-01		no		
height	1.000000e-02	4.121287e-01		no		
height	1.000000e-02	4.879891e-01		no		
chord	1.000000e-02	1.066009e-01		no		
chord	1.000000e-02	1.044740e-01		no		
chord	1.000000e-02	1.280713e-01		no		
chord	1.000000e-02	1.347443e-01		no		
chord	1.000000e-02	1.761748e-01		no		
chord	1.000000e-02	2.022464e-01		no		
chord	1.000000e-02	2.807478e-01		no		
chord	1.000000e-02	2.891401e-01		no		
RPM	3.000000e+03	3.000000e+03	3.000000e+03	yes	yes	yes


Optimization algorithm output
exitflag	iterations	function_count	con_violation	stepsize
-2	37	1732	1.412160e-05	3.007451e-06

