type	stator	rotor	stator	rotor	stator	rotor	stator	rotor
r_m	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00
c	1.246998e-01	1.131987e-01	1.411623e-01	1.460997e-01	1.857427e-01	1.952309e-01	2.493532e-01	2.606630e-01
b	9.552559e-02	7.724027e-02	9.730590e-02	1.021455e-01	1.317960e-01	1.413174e-01	1.843923e-01	1.975683e-01
stagger	6.981317e-01	-8.198339e-01	8.102475e-01	-7.965895e-01	7.819195e-01	-7.614338e-01	7.384953e-01	-7.106386e-01
H	2.271195e-01	2.238958e-01	2.546728e-01	2.898414e-01	3.310914e-01	3.792484e-01	4.366794e-01	5.040345e-01
delta_fl	-1.745286e-01	1.745335e-01	1.745309e-01	1.745342e-01	1.745305e-01	1.745330e-01	1.745309e-01	1.745603e-01
s	6.950936e-02	7.020226e-02	8.844087e-02	9.653127e-02	1.269742e-01	1.396987e-01	1.868474e-01	2.119919e-01
o	1.207017e-02	1.346011e-02	1.861804e-02	2.289104e-02	3.371587e-02	4.258017e-02	6.505242e-02	8.475834e-02
t_max	2.493996e-02	2.036812e-02	2.520586e-02	2.580165e-02	3.241242e-02	3.349524e-02	4.196156e-02	4.282468e-02
t_te	1.207017e-03	1.346011e-03	1.861804e-03	2.289104e-03	3.371587e-03	4.258017e-03	6.505242e-03	8.475834e-03
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	3.821024e-02	3.089611e-02	3.892236e-02	4.085819e-02	5.271841e-02	5.652695e-02	7.375692e-02	7.902732e-02
z	1.401514e+02	1.387681e+02	1.101508e+02	1.009189e+02	7.672291e+01	6.973458e+01	5.213791e+01	4.595381e+01
Re	2.891010e+06	2.191304e+06	2.270543e+06	1.929130e+06	1.999901e+06	1.694321e+06	1.730670e+06	1.497834e+06
theta_in	0.000000e+00	-2.617994e-01	2.617994e-01	-2.617994e-01	2.617995e-01	-2.617996e-01	2.617998e-01	-2.618000e-01
theta_out	1.396263e+00	-1.377868e+00	1.358696e+00	-1.331380e+00	1.302039e+00	-1.261068e+00	1.215191e+00	-1.159477e+00
deflection	1.396263e+00	-1.116069e+00	1.096896e+00	-1.069580e+00	1.040240e+00	-9.992684e-01	9.533911e-01	-8.976771e-01
camber	1.396263e+00	-1.116069e+00	1.096896e+00	-1.069580e+00	1.040240e+00	-9.992684e-01	9.533911e-01	-8.976771e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	6.963475e-03	7.800481e-03	6.443076e-03	6.978910e-03	5.996751e-03	6.112550e-03	5.367362e-03	6.125000e-03
Y_guess	9.082106e-02	1.032374e-01	8.623218e-02	9.494309e-02	8.270481e-02	8.570511e-02	7.631691e-02	7.455961e-02
Y_loss	9.082411e-02	1.032375e-01	8.623333e-02	9.494704e-02	8.270582e-02	8.570774e-02	7.631785e-02	7.456357e-02
Y_error	-3.047619e-06	-7.553162e-08	-1.153124e-06	-3.945776e-06	-1.006967e-06	-2.638398e-06	-9.375536e-07	-3.952516e-06
Y_p	2.799540e-02	2.551214e-02	2.419195e-02	2.331473e-02	2.132543e-02	1.947630e-02	1.647838e-02	1.356416e-02
Y_s	3.981081e-02	3.842232e-02	3.863478e-02	3.788481e-02	3.793919e-02	3.631192e-02	3.633558e-02	3.374706e-02
Y_cl	0.000000e+00	1.590712e-02	0.000000e+00	1.032476e-02	0.000000e+00	6.450367e-03	0.000000e+00	3.700601e-03
Y_te	2.301790e-02	2.339587e-02	2.340661e-02	2.342273e-02	2.344119e-02	2.346915e-02	2.350389e-02	2.355174e-02
dh_s	8.583687e+03	9.615442e+03	7.942205e+03	8.602713e+03	7.392032e+03	7.534774e+03	6.616201e+03	7.550121e+03
