Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
w_s	1.000000e-01	3.432825e-01	1.000000e+01	yes	no
d_s	1.000000e-01	2.999157e+00	1.000000e+01	yes	no
vel_in	1.000000e-03	4.289674e-02	5.000000e-01	yes	no
vel_out	5.000000e-02	3.529437e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.524362e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.520353e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.516887e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.516092e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.520048e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.531532e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	4.034358e-01	1.250000e+00	yes	no
ang_out	6.981317e-01	1.396263e+00	1.396263e+00	yes	yes
ang_out	-1.396263e+00	-1.377868e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.358696e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.331380e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.302039e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.261068e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.215191e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.159477e+00	-6.981317e-01	yes	no
r_Hc	1.000000e+00	1.821330e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.977901e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.804113e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.983860e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.782527e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.942564e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.751248e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.933664e+00	2.000000e+00	yes	no
r_sc	3.000000e-01	5.574136e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.201687e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.265189e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.607219e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.836028e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.155567e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.493282e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	8.132795e-01	1.100000e+00	yes	no
s_out	9.900000e-01	1.000758e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.001662e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.002459e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.003387e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.004248e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.005201e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.006117e+00	1.048890e+00	yes	no
s_out	9.900000e-01	1.007312e+00	1.048890e+00	yes	no


Nonlinear constraints
variable	min_value	value	max_value	applied	satisfied	active
p_out_error	0.000000e+00	6.827176e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-3.047619e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-7.553162e-08	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.153124e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-3.945776e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.006967e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.638398e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-9.375536e-07	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-3.952516e-06	0.000000e+00	yes	yes	yes
flare_angle	-1.745329e-01	-1.745286e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745335e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745309e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745342e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745305e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745330e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745309e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745603e-01	1.745329e-01	yes	yes	yes
r_ht	6.000000e-01	8.541278e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.729909e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.729909e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.577087e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.577087e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.388080e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.388080e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.193764e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	8.193764e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.949034e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.949034e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.693830e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.693830e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.371556e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.371556e-01	9.000000e-01	yes	yes	no
r_ht	6.000000e-01	7.038975e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.947640e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.973901e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.965120e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	5.659972e-01	9.000000e-01	yes	yes	no
Ma_rel		7.404935e-02	5.000000e+00	yes	yes	no
Ma_rel		6.272451e-01	5.000000e+00	yes	yes	no
Ma_rel		1.127622e-01	5.000000e+00	yes	yes	no
Ma_rel		6.456185e-01	5.000000e+00	yes	yes	no
