T	1.531684e+03	1.443550e+03	1.443550e+03	1.356468e+03	1.356468e+03	1.269357e+03	1.269357e+03	1.182193e+03	1.182193e+03	1.095158e+03	1.095158e+03	1.008132e+03	1.008132e+03	9.214376e+02	9.214376e+02	8.060986e+02	8.247674e+02
T0	1.533000e+03	1.533023e+03	1.533023e+03	1.360031e+03	1.360031e+03	1.360044e+03	1.360044e+03	1.187740e+03	1.187740e+03	1.187748e+03	1.187748e+03	1.017567e+03	1.017567e+03	1.017570e+03	1.017570e+03	8.268052e+02	8.268022e+02
T0rel	1.533000e+03	1.533023e+03	1.446454e+03	1.446475e+03	1.360031e+03	1.360044e+03	1.273687e+03	1.273698e+03	1.187740e+03	1.187748e+03	1.102201e+03	1.102207e+03	1.017567e+03	1.017570e+03	9.340255e+02	9.340283e+02	8.268022e+02
p	1.454740e+03	1.112576e+03	1.112576e+03	8.389734e+02	8.389734e+02	6.251957e+02	6.251957e+02	4.566770e+02	4.566770e+02	3.282199e+02	3.282199e+02	2.304362e+02	2.304362e+02	1.582848e+02	1.582848e+02	9.188206e+01	1.000007e+02
p0	1.460000e+03	1.431074e+03	1.431074e+03	8.481209e+02	8.481209e+02	8.304237e+02	8.304237e+02	4.654138e+02	4.654138e+02	4.549339e+02	4.549339e+02	2.390542e+02	2.390542e+02	2.333272e+02	2.333272e+02	1.011623e+02	1.009418e+02
p0rel	1.460000e+03	1.431074e+03	1.121939e+03	1.095460e+03	8.481209e+02	8.304237e+02	6.339716e+02	6.185983e+02	4.654138e+02	4.549339e+02	3.367388e+02	3.283473e+02	2.390542e+02	2.333272e+02	1.668424e+02	1.616412e+02	1.009418e+02
h	1.721430e+06	1.611547e+06	1.611547e+06	1.503943e+06	1.503943e+06	1.397368e+06	1.397368e+06	1.291900e+06	1.291900e+06	1.187887e+06	1.187887e+06	1.085314e+06	1.085314e+06	9.846986e+05	9.846986e+05	8.534823e+05	8.745067e+05
h0	1.723077e+06	1.723077e+06	1.723077e+06	1.508325e+06	1.508325e+06	1.508325e+06	1.508325e+06	1.298575e+06	1.298575e+06	1.298575e+06	1.298575e+06	1.096361e+06	1.096361e+06	1.096361e+06	1.096361e+06	8.768068e+05	8.768033e+05
h0rel	1.723077e+06	1.723077e+06	1.615152e+06	1.615152e+06	1.508325e+06	1.508325e+06	1.402638e+06	1.402638e+06	1.298575e+06	1.298575e+06	1.196252e+06	1.196252e+06	1.096361e+06	1.096361e+06	9.992054e+05	9.992054e+05	8.768033e+05
d	3.188569e+00	2.589274e+00	2.589274e+00	2.079094e+00	2.079094e+00	1.656452e+00	1.656452e+00	1.299706e+00	1.299706e+00	1.008687e+00	1.008687e+00	7.695202e-01	7.695202e-01	5.784333e-01	5.784333e-01	3.838987e-01	4.083510e-01
s	7.865753e+03	7.871713e+03	7.871713e+03	7.878822e+03	7.878822e+03	7.885095e+03	7.885095e+03	7.892395e+03	7.892395e+03	7.899164e+03	7.899164e+03	7.906662e+03	7.906662e+03	7.913865e+03	7.913865e+03	7.923270e+03	7.923914e+03
Z	1.003582e+00	1.002888e+00	1.002888e+00	1.002298e+00	1.002298e+00	1.001811e+00	1.001811e+00	1.001401e+00	1.001401e+00	1.001068e+00	1.001068e+00	1.000797e+00	1.000797e+00	1.000581e+00	1.000581e+00	1.000365e+00	1.000392e+00
a	7.751894e+02	7.529619e+02	7.529619e+02	7.304816e+02	7.304816e+02	7.074191e+02	7.074191e+02	6.836709e+02	6.836709e+02	6.591911e+02	6.591911e+02	6.338162e+02	6.338162e+02	6.074854e+02	6.074854e+02	5.704427e+02	5.766162e+02
mu	5.483099e-05	5.274780e-05	5.274780e-05	5.065217e-05	5.065217e-05	4.851309e-05	4.851309e-05	4.632294e-05	4.632294e-05	4.407830e-05	4.407830e-05	4.176633e-05	4.176633e-05	3.938421e-05	3.938421e-05	3.606712e-05	3.661695e-05
v	5.740227e+01	4.722916e+02	4.722916e+02	9.361361e+01	9.361361e+01	4.710761e+02	4.710761e+02	1.155359e+02	1.155359e+02	4.705058e+02	4.705058e+02	1.486362e+02	1.486362e+02	4.725720e+02	4.725720e+02	2.159839e+02	6.777420e+01
v_t	0.000000e+00	4.651165e+02	4.651165e+02	2.422898e+01	2.422898e+01	4.605197e+02	4.605197e+02	2.990291e+01	2.990291e+01	4.536155e+02	4.536155e+02	3.846993e+01	3.846993e+01	4.430060e+02	4.430060e+02	-7.738693e+00	-4.213226e+00
v_m	5.740227e+01	8.201258e+01	8.201258e+01	9.042380e+01	9.042380e+01	9.916808e+01	9.916808e+01	1.115991e+02	1.115991e+02	1.249349e+02	1.249349e+02	1.435715e+02	1.435715e+02	1.645297e+02	1.645297e+02	2.158453e+02	6.764311e+01
w	5.740227e+01	4.722916e+02	8.490567e+01	4.716125e+02	9.361361e+01	4.710761e+02	1.026664e+02	4.706123e+02	1.155359e+02	4.705058e+02	1.293421e+02	4.710353e+02	1.486362e+02	4.725720e+02	1.703337e+02	5.398576e+02	6.777420e+01
w_t	0.000000e+00	4.651165e+02	-2.197521e+01	-4.628627e+02	2.422898e+01	4.605197e+02	-2.657201e+01	-4.571888e+02	2.990291e+01	4.536155e+02	-3.347623e+01	-4.486217e+02	3.846993e+01	4.430060e+02	-4.408571e+01	-4.948304e+02	-4.213226e+00
w_m	5.740227e+01	8.201258e+01	8.201258e+01	9.042380e+01	9.042380e+01	9.916808e+01	9.916808e+01	1.115991e+02	1.115991e+02	1.249349e+02	1.249349e+02	1.435715e+02	1.435715e+02	1.645297e+02	1.645297e+02	2.158453e+02	6.764311e+01
u	0.000000e+00	0.000000e+00	4.870917e+02	4.870917e+02	0.000000e+00	0.000000e+00	4.870917e+02	4.870917e+02	0.000000e+00	0.000000e+00	4.870917e+02	4.870917e+02	0.000000e+00	0.000000e+00	4.870917e+02	4.870917e+02	0.000000e+00
alpha	0.000000e+00	1.396263e+00	1.396263e+00	2.617994e-01	2.617994e-01	1.358696e+00	1.358696e+00	2.617995e-01	2.617995e-01	1.302039e+00	1.302039e+00	2.617998e-01	2.617998e-01	1.215191e+00	1.215191e+00	-3.583762e-02	-6.220574e-02
beta	0.000000e+00	1.396263e+00	-2.617994e-01	-1.377868e+00	2.617994e-01	1.358696e+00	-2.617994e-01	-1.331380e+00	2.617995e-01	1.302039e+00	-2.617996e-01	-1.261068e+00	2.617998e-01	1.215191e+00	-2.618000e-01	-1.159477e+00	-6.220574e-02
Ma	7.404935e-02	6.272451e-01	6.272451e-01	1.281533e-01	1.281533e-01	6.659080e-01	6.659080e-01	1.689935e-01	1.689935e-01	7.137623e-01	7.137623e-01	2.345099e-01	2.345099e-01	7.779150e-01	7.779150e-01	3.786251e-01	1.175378e-01
Ma_rel	7.404935e-02	6.272451e-01	1.127622e-01	6.456185e-01	1.281533e-01	6.659080e-01	1.451280e-01	6.883609e-01	1.689935e-01	7.137623e-01	1.962134e-01	7.431734e-01	2.345099e-01	7.779150e-01	2.803915e-01	9.463836e-01	1.175378e-01
A	2.376645e+00	2.048476e+00	2.048476e+00	2.313835e+00	2.313835e+00	2.648125e+00	2.648125e+00	2.999048e+00	2.999048e+00	3.451827e+00	3.451827e+00	3.937322e+00	3.937322e+00	4.570794e+00	4.570794e+00	5.249647e+00	1.818531e+01
H	2.439628e-01	2.102762e-01	2.102762e-01	2.375154e-01	2.375154e-01	2.718303e-01	2.718303e-01	3.078525e-01	3.078525e-01	3.543303e-01	3.543303e-01	4.041664e-01	4.041664e-01	4.691923e-01	4.691923e-01	5.388767e-01	1.047026e+00
r_m	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	1.550461e+00	2.764289e+00
r_h	1.428480e+00	1.445323e+00	1.445323e+00	1.431703e+00	1.431703e+00	1.414546e+00	1.414546e+00	1.396535e+00	1.396535e+00	1.373296e+00	1.373296e+00	1.348378e+00	1.348378e+00	1.315865e+00	1.315865e+00	1.281023e+00	2.310913e+00
