type	stator	rotor	stator	rotor	stator	rotor	stator	rotor
r_m	2.632802e-01	2.632802e-01	2.632802e-01	2.632802e-01	2.632802e-01	2.632802e-01	2.632802e-01	2.632802e-01
c	1.734966e-02	1.517395e-02	2.078510e-02	1.942502e-02	2.835979e-02	2.593042e-02	4.112670e-02	3.721996e-02
b	1.329061e-02	1.042642e-02	1.438824e-02	1.363284e-02	2.010556e-02	1.871487e-02	3.005585e-02	2.771032e-02
stagger	6.981317e-01	-8.132698e-01	8.062103e-01	-7.928492e-01	7.827938e-01	-7.644915e-01	7.512869e-01	-7.310085e-01
H	2.853574e-02	3.033500e-02	3.386180e-02	3.880044e-02	4.474659e-02	5.158871e-02	6.018537e-02	7.036804e-02
delta_fl	6.075061e-02	9.474811e-02	1.744597e-01	1.744518e-01	1.744505e-01	1.744680e-01	1.744784e-01	1.744852e-01
s	9.730964e-03	9.692797e-03	1.348035e-02	1.307593e-02	1.939637e-02	1.849486e-02	3.002317e-02	2.806234e-02
o	1.689764e-03	1.974056e-03	2.933894e-03	3.186578e-03	5.104772e-03	5.519196e-03	9.715391e-03	1.015129e-02
t_max	3.469931e-03	2.718104e-03	3.701669e-03	3.422115e-03	4.955184e-03	4.462318e-03	6.999134e-03	6.225891e-03
t_te	1.689764e-04	1.974056e-04	2.933894e-04	3.186578e-04	5.104772e-04	5.519196e-04	9.715391e-04	1.015129e-03
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	5.316243e-03	4.170568e-03	5.755298e-03	5.453136e-03	8.042223e-03	7.485949e-03	1.202234e-02	1.108413e-02
z	1.699973e+02	1.706667e+02	1.227148e+02	1.265101e+02	8.528596e+01	8.944310e+01	5.509872e+01	5.894869e+01
Re	5.161638e+06	3.863909e+06	4.577299e+06	3.639952e+06	4.543046e+06	3.504306e+06	4.687680e+06	3.686275e+06
theta_in	0.000000e+00	-2.608403e-01	2.610226e-01	-2.610791e-01	2.611100e-01	-2.612211e-01	2.613054e-01	-2.613549e-01
theta_out	1.396263e+00	-1.365699e+00	1.351398e+00	-1.324619e+00	1.304477e+00	-1.267762e+00	1.241268e+00	-1.200662e+00
deflection	1.396263e+00	-1.104859e+00	1.090375e+00	-1.063540e+00	1.043367e+00	-1.006541e+00	9.799629e-01	-9.393071e-01
camber	1.396263e+00	-1.104859e+00	1.090375e+00	-1.063540e+00	1.043367e+00	-1.006541e+00	9.799629e-01	-9.393071e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	8.035406e-03	1.281117e-02	7.283938e-03	1.054901e-02	6.870661e-03	8.627600e-03	6.424217e-03	8.076395e-03
Y_guess	9.938687e-02	1.616902e-01	9.200924e-02	1.356007e-01	8.869192e-02	1.130245e-01	8.471379e-02	9.594925e-02
Y_loss	9.938813e-02	1.617559e-01	9.203015e-02	1.356406e-01	8.871138e-02	1.131259e-01	8.473566e-02	9.597472e-02
Y_error	-1.255684e-06	-6.563944e-05	-2.090617e-05	-3.980881e-05	-1.946707e-05	-1.013226e-04	-2.187494e-05	-2.546424e-05
Y_p	3.446778e-02	2.909952e-02	2.797969e-02	2.615866e-02	2.465828e-02	2.215228e-02	2.015286e-02	1.743680e-02
Y_s	4.190245e-02	3.905166e-02	4.064196e-02	3.827388e-02	4.061571e-02	3.690745e-02	4.110089e-02	3.497709e-02
Y_cl	0.000000e+00	7.020486e-02	0.000000e+00	4.778339e-02	0.000000e+00	3.060370e-02	0.000000e+00	2.004679e-02
Y_te	2.301790e-02	2.339982e-02	2.340849e-02	2.342463e-02	2.343739e-02	2.346243e-02	2.348191e-02	2.351403e-02
dh_s	6.333970e+03	1.009851e+04	5.741620e+03	8.315336e+03	5.415851e+03	6.800771e+03	5.063938e+03	6.366279e+03
