type	stator	rotor	stator	rotor	stator	rotor	stator	rotor
r_m	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01
c	1.646900e-02	1.565375e-02	1.964235e-02	2.032045e-02	2.603038e-02	2.719959e-02	3.529778e-02	3.688833e-02
b	1.261599e-02	1.068520e-02	1.352445e-02	1.417569e-02	1.837491e-02	1.952716e-02	2.574838e-02	2.736801e-02
stagger	6.981317e-01	-8.194861e-01	8.113294e-01	-7.987439e-01	7.870997e-01	-7.699852e-01	7.532615e-01	-7.348743e-01
H	3.163988e-02	3.130356e-02	3.557023e-02	4.045236e-02	4.618853e-02	5.286789e-02	6.084431e-02	7.019730e-02
delta_fl	-1.741975e-01	1.745110e-01	1.743969e-01	1.745155e-01	1.743679e-01	1.744997e-01	1.742989e-01	1.742973e-01
s	9.638261e-03	9.574377e-03	1.197926e-02	1.282701e-02	1.688781e-02	1.832692e-02	2.469066e-02	2.754466e-02
o	1.673666e-03	1.839886e-03	2.493774e-03	2.985405e-03	4.312284e-03	5.283841e-03	7.905809e-03	9.774180e-03
t_max	3.293800e-03	2.816406e-03	3.511015e-03	3.595536e-03	4.562361e-03	4.700516e-03	6.015326e-03	6.188999e-03
t_te	1.673666e-04	1.839886e-04	2.493774e-04	2.985405e-04	4.312284e-04	5.283841e-04	7.905809e-04	9.774180e-04
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	5.046394e-03	4.274080e-03	5.409779e-03	5.670278e-03	7.349966e-03	7.810863e-03	1.029935e-02	1.094720e-02
z	1.711414e+02	1.722833e+02	1.376968e+02	1.285963e+02	9.767433e+01	9.000451e+01	6.680685e+01	5.988476e+01
Re	4.897637e+06	3.994234e+06	4.343124e+06	3.828818e+06	4.202371e+06	3.709797e+06	4.072658e+06	3.758335e+06
theta_in	0.000000e+00	-2.615465e-01	2.615705e-01	-2.615894e-01	2.616117e-01	-2.616358e-01	2.616613e-01	-2.617042e-01
theta_out	1.396263e+00	-1.377426e+00	1.361088e+00	-1.335898e+00	1.312588e+00	-1.278335e+00	1.244862e+00	-1.208044e+00
deflection	1.396263e+00	-1.115879e+00	1.099518e+00	-1.074309e+00	1.050976e+00	-1.016699e+00	9.832004e-01	-9.463401e-01
camber	1.396263e+00	-1.115879e+00	1.099518e+00	-1.074309e+00	1.050976e+00	-1.016699e+00	9.832004e-01	-9.463401e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	7.017480e-03	1.248301e-02	6.578240e-03	1.014417e-02	6.216457e-03	8.327094e-03	5.760173e-03	8.064427e-03
Y_guess	8.715898e-02	1.581570e-01	8.339130e-02	1.309620e-01	8.057361e-02	1.096537e-01	7.625543e-02	9.258538e-02
Y_loss	8.738379e-02	1.581667e-01	8.343817e-02	1.309698e-01	8.062982e-02	1.097297e-01	7.633376e-02	9.284697e-02
Y_error	-2.248075e-04	-9.662362e-06	-4.686388e-05	-7.732082e-06	-5.621206e-05	-7.605325e-05	-7.832363e-05	-2.615952e-04
Y_p	2.512188e-02	2.263432e-02	2.142500e-02	2.063632e-02	1.899118e-02	1.764511e-02	1.549260e-02	1.377349e-02
Y_s	3.924401e-02	3.931159e-02	3.860859e-02	3.812619e-02	3.820483e-02	3.666121e-02	3.736066e-02	3.512584e-02
Y_cl	0.000000e+00	7.282542e-02	0.000000e+00	4.878790e-02	0.000000e+00	3.196692e-02	0.000000e+00	2.043835e-02
Y_te	2.301790e-02	2.339538e-02	2.340457e-02	2.341935e-02	2.343381e-02	2.345649e-02	2.348050e-02	2.350930e-02
dh_s	5.527602e+03	9.832750e+03	5.181617e+03	7.990462e+03	4.896644e+03	6.559172e+03	4.537234e+03	6.352273e+03
