Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
w_s	1.000000e-01	2.926222e-01	1.000000e+01	yes	no
d_s	1.000000e-01	3.480338e+00	1.000000e+01	yes	no
vel_in	1.000000e-03	4.317100e-02	5.000000e-01	yes	no
vel_out	5.000000e-02	3.491428e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.486301e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.482865e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.479399e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.478156e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.479762e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.485258e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.883275e-01	1.250000e+00	yes	no
ang_out	6.981317e-01	1.396263e+00	1.396263e+00	yes	yes
ang_out	-1.396263e+00	-1.377426e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.361088e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.335898e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.312588e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.278335e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.244862e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.208044e+00	-6.981317e-01	yes	no
r_Hc	1.000000e+00	1.921178e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.999748e+00	2.000000e+00	yes	yes
r_Hc	1.000000e+00	1.810895e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.990722e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.774408e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.943702e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.723743e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.902968e+00	2.000000e+00	yes	no
r_sc	3.000000e-01	5.852365e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.116347e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.098688e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.312362e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.487729e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.737939e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.994962e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.467039e-01	1.100000e+00	yes	no
s_out	9.900000e-01	1.001165e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.003361e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.004586e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.006598e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.007912e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.009798e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.011199e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.013361e+00	1.075811e+00	yes	no


Nonlinear constraints
variable	min_value	value	max_value	applied	satisfied	active
p_out_error	0.000000e+00	3.123497e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.248075e-04	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-9.662362e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-4.686388e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-7.732082e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-5.621206e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-7.605325e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-7.832363e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.615952e-04	0.000000e+00	yes	yes	yes
flare_angle	-1.745329e-01	-1.741975e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745110e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.743969e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.745155e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.743679e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744997e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.742989e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.742973e-01	1.745329e-01	yes	yes	yes
r_ht	7.500000e-01	8.788362e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.938824e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.938824e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.811001e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.811001e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.651773e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.651773e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.487632e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.487632e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.279297e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.279297e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.062819e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.062819e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.785410e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.785410e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.499747e-01	9.000000e-01	yes	yes	yes
reaction	1.000000e-01	4.948807e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.977042e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.971008e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	5.539383e-01	9.000000e-01	yes	yes	no
Ma_rel		7.401875e-02	5.000000e+00	yes	yes	no
Ma_rel		6.134912e-01	5.000000e+00	yes	yes	no
Ma_rel		1.102822e-01	5.000000e+00	yes	yes	no
Ma_rel		6.282228e-01	5.000000e+00	yes	yes	no
