type	stator	rotor	stator	rotor	stator	rotor	stator	rotor
r_m	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00
c	1.066009e-01	1.044740e-01	1.280713e-01	1.347443e-01	1.761748e-01	2.022464e-01	2.807478e-01	2.891401e-01
b	8.174350e-02	7.207635e-02	8.933702e-02	9.542052e-02	1.266637e-01	1.481780e-01	2.094226e-01	2.207982e-01
stagger	6.969269e-01	-8.094491e-01	7.988144e-01	-7.839076e-01	7.684826e-01	-7.485731e-01	7.288427e-01	-7.018683e-01
H	1.903725e-01	2.089480e-01	2.288664e-01	2.614466e-01	3.006083e-01	3.490724e-01	4.121287e-01	4.879891e-01
delta_fl	1.745032e-01	5.771479e-02	1.745470e-01	1.745450e-01	1.745409e-01	1.745403e-01	1.745352e-01	1.745346e-01
s	5.726328e-02	6.785674e-02	9.037292e-02	1.029705e-01	1.396873e-01	1.652673e-01	2.336424e-01	2.100996e-01
o	1.007952e-02	1.439067e-02	2.103914e-02	2.694661e-02	4.069647e-02	5.440468e-02	8.555719e-02	8.736654e-02
t_max	2.130178e-02	1.864288e-02	2.265874e-02	2.355158e-02	3.040380e-02	3.432637e-02	4.685654e-02	4.714000e-02
t_te	1.007952e-03	1.439067e-03	2.103914e-03	2.694661e-03	4.069647e-03	5.440468e-03	8.555719e-03	8.736654e-03
t_cl	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04	5.000000e-04
cs	3.269740e-02	2.883054e-02	3.573481e-02	3.816821e-02	5.066548e-02	5.927121e-02	8.376903e-02	8.831926e-02
z	1.717055e+02	1.448997e+02	1.087983e+02	9.548772e+01	7.038880e+01	5.949405e+01	4.208322e+01	4.679887e+01
Re	2.482267e+06	2.021925e+06	2.054754e+06	1.771400e+06	1.884883e+06	1.740575e+06	1.925901e+06	1.617100e+06
theta_in	0.000000e+00	-2.617989e-01	2.617919e-01	-2.617941e-01	2.617959e-01	-2.617976e-01	2.617991e-01	-2.617999e-01
theta_out	1.393854e+00	-1.357099e+00	1.335837e+00	-1.306021e+00	1.275169e+00	-1.235349e+00	1.195886e+00	-1.141937e+00
deflection	1.393854e+00	-1.095300e+00	1.074045e+00	-1.044227e+00	1.013373e+00	-9.735510e-01	9.340874e-01	-8.801368e-01
camber	1.393854e+00	-1.095300e+00	1.074045e+00	-1.044227e+00	1.013373e+00	-9.735510e-01	9.340874e-01	-8.801368e-01
incid	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
eta_drop	7.595728e-03	8.124392e-03	6.741630e-03	7.181436e-03	6.256404e-03	6.385231e-03	5.755210e-03	6.092190e-03
Y_guess	9.753610e-02	1.060256e-01	8.894626e-02	9.623167e-02	8.493374e-02	8.804242e-02	8.051099e-02	7.627631e-02
Y_loss	9.753608e-02	1.060251e-01	8.894650e-02	9.623186e-02	8.493381e-02	8.804235e-02	8.051078e-02	7.627555e-02
Y_error	1.601994e-08	4.888078e-07	-2.389885e-07	-1.954107e-07	-7.182995e-08	7.394347e-08	2.140637e-07	7.550806e-07
Y_p	3.441098e-02	2.849669e-02	2.706562e-02	2.537676e-02	2.324067e-02	2.037424e-02	1.735982e-02	1.380424e-02
Y_s	4.010719e-02	3.920735e-02	3.846087e-02	3.715148e-02	3.823393e-02	3.710958e-02	3.963125e-02	3.478419e-02
Y_cl	0.000000e+00	1.491352e-02	0.000000e+00	1.026503e-02	0.000000e+00	7.070388e-03	0.000000e+00	4.118846e-03
Y_te	2.301790e-02	2.340753e-02	2.342001e-02	2.343860e-02	2.345921e-02	2.348814e-02	2.351971e-02	2.356827e-02
dh_s	9.349496e+03	1.000022e+04	8.298196e+03	8.839549e+03	7.700937e+03	7.859509e+03	7.084023e+03	7.498807e+03
