type	stator	rotor
r_m	3.795888e-02	3.795888e-02
c	1.000626e-02	9.524687e-03
b	7.742900e-03	6.888815e-03
stagger	6.859684e-01	-7.622864e-01
H	1.898159e-02	1.898205e-02
delta_fl	9.797708e-06	5.623328e-05
s	5.941586e-03	6.953150e-03
o	1.173769e-03	2.106193e-03
t_max	1.983817e-03	1.635665e-03
t_te	1.173769e-04	2.106193e-04
t_cl	5.000000e-04	5.000000e-04
cs	3.097160e-03	2.755526e-03
z	4.014125e+01	3.430138e+01
Re	7.125868e+06	4.703195e+06
theta_in	0.000000e+00	-2.615234e-01
theta_out	1.371937e+00	-1.263049e+00
deflection	1.371937e+00	-1.001526e+00
camber	1.371937e+00	-1.001526e+00
incid	0.000000e+00	0.000000e+00
delta	0.000000e+00	0.000000e+00
eta_drop	3.141616e-02	5.328924e-02
Y_guess	8.429158e-02	1.420734e-01
Y_loss	8.448097e-02	1.420945e-01
Y_error	-1.893887e-04	-2.104747e-05
Y_p	2.208429e-02	1.618032e-02
Y_s	3.937877e-02	3.696546e-02
Y_cl	0.000000e+00	6.548193e-02
Y_te	2.301790e-02	2.346679e-02
dh_s	6.679494e+02	1.133000e+03
