Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
w_s	1.000000e-01	2.928645e-01	1.000000e+01	yes	no
d_s	1.000000e-01	3.490323e+00	1.000000e+01	yes	no
vel_in	1.000000e-03	5.263887e-02	5.000000e-01	yes	no
vel_out	5.000000e-02	3.504790e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.497042e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.494557e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.491883e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.491435e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.494353e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.499393e-01	1.250000e+00	yes	no
vel_out	5.000000e-02	3.796690e-01	1.250000e+00	yes	no
ang_out	6.981317e-01	1.396263e+00	1.396263e+00	yes	yes
ang_out	-1.396263e+00	-1.365699e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.351398e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.324619e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.304477e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.267762e+00	-6.981317e-01	yes	no
ang_out	6.981317e-01	1.241268e+00	1.396263e+00	yes	no
ang_out	-1.396263e+00	-1.200662e+00	-6.981317e-01	yes	no
r_Hc	1.000000e+00	1.644744e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.999150e+00	2.000000e+00	yes	yes
r_Hc	1.000000e+00	1.629138e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.997446e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.577818e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.989506e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.463413e+00	2.000000e+00	yes	no
r_Hc	1.000000e+00	1.890600e+00	2.000000e+00	yes	no
r_sc	3.000000e-01	5.608736e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.387790e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.485580e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.731489e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	6.839391e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.132498e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.300164e-01	1.100000e+00	yes	no
r_sc	3.000000e-01	7.539594e-01	1.100000e+00	yes	no
s_out	9.900000e-01	1.001336e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.003594e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.004953e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.007050e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.008506e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.010467e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.012035e+00	1.075811e+00	yes	no
s_out	9.900000e-01	1.014196e+00	1.075811e+00	yes	no


Nonlinear constraints
variable	min_value	value	max_value	applied	satisfied	active
p_out_error	0.000000e+00	2.083674e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.255684e-06	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-6.563944e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.090617e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-3.980881e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.946707e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-1.013226e-04	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.187494e-05	0.000000e+00	yes	yes	yes
Y_error	0.000000e+00	-2.546424e-05	0.000000e+00	yes	yes	yes
flare_angle	-1.745329e-01	6.075061e-02	1.745329e-01	yes	yes	no
flare_angle	-1.745329e-01	9.474811e-02	1.745329e-01	yes	yes	no
flare_angle	-1.745329e-01	1.744597e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744518e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744505e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744680e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744784e-01	1.745329e-01	yes	yes	yes
flare_angle	-1.745329e-01	1.744852e-01	1.745329e-01	yes	yes	yes
r_ht	7.500000e-01	8.999533e-01	9.000000e-01	yes	yes	yes
r_ht	7.500000e-01	8.944274e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.944274e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.876981e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.876981e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.706911e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.706911e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.548581e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.548581e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.319910e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.319910e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.112044e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	8.112044e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.787888e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.787888e-01	9.000000e-01	yes	yes	no
r_ht	7.500000e-01	7.499132e-01	9.000000e-01	yes	yes	yes
reaction	1.000000e-01	4.963516e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.979565e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	4.976132e-01	9.000000e-01	yes	yes	no
reaction	1.000000e-01	5.406319e-01	9.000000e-01	yes	yes	no
Ma_rel		9.026828e-02	5.000000e+00	yes	yes	no
Ma_rel		6.159521e-01	5.000000e+00	yes	yes	no
Ma_rel		1.107037e-01	5.000000e+00	yes	yes	no
Ma_rel		6.303771e-01	5.000000e+00	yes	yes	no
